location,Hyderabad,Hyderabad,Hyderabad,Hyderabad,Hyderabad
lat,17.39359,17.39359,17.39359,17.39359,17.39359
lon,78.4642,78.4642,78.4642,78.4642,78.4642
timestamp,Temperature ( C),Relative Humidity (%),Wind Speed (km/h),Soil Moisture (m3/m3),Soil Temperature ( C)
20201111T1200,28.8029,40,15.905319,0.19,32.45999
20201111T1300,29.4729,39,16.215992,0.188,33.940002
20201111T1400,29.8029,40,16.923828,0.187,34.559998
20201111T1500,29.7029,40,16.575644,0.186,34.30002
20201111T1600,29.2429,42,16.575644,0.185,33.160004
20201111T1700,28.0629,44,11.304229,0.19,30.800018
20201111T1800,27.0429,48,10.041354,0.189,28.830017
20201111T1900,26.1329,52,9.83268,0.189,27.369995
20201111T2000,25.5529,54,10.495713,0.189,26.320007
20201111T2100,25.4129,55,11.298495,0.189,25.619995
20201111T2200,24.4629,58,10.805998,0.189,25.050018
20201111T2300,23.582901,62,9.885262,0.189,24.399994
20201112T0000,22.9429,65,9.220499,0.189,23.830017
20201112T0100,22.3929,68,8.669949,0.189,23.350006
20201112T0200,21.9529,71,8.161764,0.189,22.920013
20201112T0300,21.582901,72,7.7879906,0.189,22.559998
20201112T0400,21.332901,73,7.5942082,0.189,22.25
20201112T0500,21.1529,72,7.5685663,0.189,22
20201112T0600,21.0129,71,7.24486,0.189,21.790009
20201112T0700,22.7129,63,8.14587,0.188,22.540009
20201112T0800,25.0029,57,13.627795,0.188,24.630005
20201112T0900,25.9829,63,16.203999,0.187,27.170013
20201112T1000,26.8029,62,16.595179,0.186,28.800018
20201112T1100,27.3629,61,16.454008,0.186,30.110016
20201112T1200,26.7929,63,16.09969,0.185,31.080017
20201112T1300,28.3929,58,16.954432,0.184,32.899994
20201112T1400,28.6129,56,16.93531,0.183,33.22
20201112T1500,28.5729,55,17.015474,0.182,33.309998
20201112T1600,28.1129,57,16.87398,0.181,32.45999
20201112T1700,27.0229,59,14.404499,0.187,29.619995
20201112T1800,26.3029,63,12.245294,0.186,28.110016
20201112T1900,25.9329,65,13.363711,0.186,27.179993
20201112T2000,25.2029,69,13.202726,0.186,26.420013
20201112T2100,24.4329,73,11.090103,0.186,25.649994
20201112T2200,23.7429,77,9.605998,0.186,24.980011
20201112T2300,23.2029,80,8.759178,0.186,24.420013
20201113T0000,22.7529,82,7.9526596,0.186,23.929993
20201113T0100,22.3529,85,7.6367526,0.186,23.52002
20201113T0200,22.0129,87,7.342588,0.186,23.160004
20201113T0300,21.6829,89,7.342588,0.186,22.830017
20201113T0400,21.4429,91,7.69592,0.186,22.550018
20201113T0500,21.1929,92,7.6367526,0.186,22.290009
20201113T0600,20.8929,93,7.5685663,0.186,22.040009
20201113T0700,21.9829,87,9.114471,0.186,22.649994
20201113T0800,24.2329,68,16.279802,0.186,24.49002
20201113T0900,26.4229,52,19.386591,0.185,26.970001
20201113T1000,27.9629,44,20.192118,0.184,29.589996
20201113T1100,29.1629,41,19.48661,0.183,31.679993
20201113T1200,30.1129,40,18.35647,0.181,33.77002
20201113T1300,30.7129,38,17.581125,0.18,35.179993
20201113T1400,31.0129,37,17.462784,0.179,35.80002
20201113T1500,30.9129,37,16.700275,0.178,35.54001
20201113T1600,30.4629,39,15.5843,0.177,34.420013
20201113T1700,29.4129,45,11.183201,0.182,32.320007
20201113T1800,28.5129,48,10.182337,0.182,30.350006
20201113T1900,27.5329,51,9.47012,0.182,28.880005
20201113T2000,26.5029,55,8.905908,0.182,27.720001
20201113T2100,25.582901,59,7.5170207,0.182,26.76001
20201113T2200,24.832901,62,6.28713,0.181,25.959991
20201113T2300,24.3229,64,4.6938252,0.181,25.27002
20201114T0000,23.9429,66,4.68,0.181,24.660004
20201114T0100,23.3929,69,6.12,0.181,24.140015
20201114T0200,22.7729,72,6.87779,0.181,23.679993
20201114T0300,22.1529,77,6.725354,0.181,23.26001
20201114T0400,21.6629,81,6.12,0.181,22.869995
20201114T0500,21.2629,86,5.3999996,0.181,22.52002
20201114T0600,20.8829,89,5.1165614,0.181,22.200012
20201114T0700,22.0629,83,5.1165614,0.181,22.790009
20201114T0800,24.3929,64,11.246759,0.181,24.709991
20201114T0900,26.7729,48,13.479583,0.18,27.369995
20201114T1000,28.4729,44,14.81259,0.179,30.220001
20201114T1100,29.582901,43,16.171976,0.178,32.79001
20201114T1200,30.4729,41,16.676977,0.177,34.80002
20201114T1300,31.0029,41,16.520823,0.176,36.089996
20201114T1400,31.2929,38,16.343367,0.174,36.570007
20201114T1500,31.1429,39,15.986595,0.173,36.200012
20201114T1600,30.6529,40,16.09969,0.173,34.95999
20201114T1700,29.6829,42,11.928989,0.177,32.76001
20201114T1800,28.6129,46,11.252519,0.177,30.670013
20201114T1900,27.582901,49,10.823973,0.177,29.100006
20201114T2000,26.5229,53,10.464798,0.176,27.850006
20201114T2100,25.582901,57,10.239453,0.176,26.839996
20201114T2200,24.7729,60,9.107359,0.176,25.99002
20201114T2300,24.1629,63,8.049845,0.176,25.279999
20201115T0000,23.6529,66,7.729527,0.176,24.670013
20201115T0100,23.082901,69,7.729527,0.176,24.140015
20201115T0200,22.5729,72,8.587338,0.176,23.670013
20201115T0300,22.0329,78,9.178235,0.176,23.25
20201115T0400,21.5629,80,8.669949,0.176,22.850006
20201115T0500,21.2129,79,7.8954163,0.176,22.459991
20201115T0600,20.9629,76,6.9153743,0.176,22.100006
20201115T0700,22.332901,64,7.5685663,0.176,22.649994
20201115T0800,24.5229,49,17.533146,0.175,24.52002
20201115T0900,26.5929,41,20.870687,0.175,27.040009
20201115T1000,28.2829,39,20.969805,0.174,29.800018
20201115T1100,29.4729,39,20.316889,0.173,32.350006
20201115T1200,30.3729,38,19.917469,0.171,34.390015
20201115T1300,31.0229,36,19.881649,0.17,35.74002
20201115T1400,31.2629,36,19.493261,0.169,36.27002
20201115T1500,31.1829,37,19.110542,0.168,35.950012
20201115T1600,30.7229,38,19.110542,0.167,34.77002
20201115T1700,29.4729,44,13.75558,0.172,32.640015
20201115T1800,28.082901,49,12.682018,0.173,30.22
20201115T1900,26.6329,56,12.015589,0.174,28.41
20201115T2000,25.3129,62,10.446206,0.175,26.96
20201115T2100,24.3629,67,9.3669195,0.176,25.81
20201115T2200,23.8929,70,8.669949,0.176,25.16
20201115T2300,23.4829,71,8.12197,0.176,24.63
20201116T0000,23.1329,72,7.968939,0.176,24.19
20201116T0100,22.7929,73,8.225035,0.176,23.82
20201116T0200,22.4629,75,8.049845,0.176,23.48
20201116T0300,22.1029,79,8.049845,0.176,23.17
20201116T0400,21.8429,82,8.217153,0.176,22.89
20201116T0500,21.6029,83,8.854829,0.176,22.63
20201116T0600,21.3429,82,8.049845,0.176,22.39
20201116T0700,22.4529,76,8.287822,0.176,22.96
20201116T0800,24.3629,63,14.685176,0.175,24.78
20201116T0900,26.3529,54,18.345877,0.175,27.25
20201116T1000,27.9829,48,21.218632,0.174,29.87
20201116T1100,29.1629,44,22.55106,0.173,32.25
20201116T1200,30.0629,42,21.518847,0.172,34.18
20201116T1300,30.6029,41,20.833395,0.171,35.46
20201116T1400,30.8229,40,20.49156,0.17,35.95
20201116T1500,30.6229,39,20.730501,0.169,35.58
20201116T1600,30.0529,39,20.65848,0.168,34.34
20201116T1700,28.9729,39,16.981165,0.167,32.33
20201116T1800,27.0729,42,9.793059,0.168,29.81
20201116T1900,25.5429,47,8.654987,0.169,27.84
20201116T2000,24.5129,49,7.2,0.17,26.31
20201116T2100,23.7529,52,6.6087217,0.17,25.16
20201116T2200,23.2729,55,6.297428,0.17,24.5
20201116T2300,22.8129,59,6.792466,0.17,23.96
20201117T0000,22.4129,62,7.289445,0.17,23.51
20201117T0100,21.9929,66,6.792466,0.17,23.1
20201117T0200,21.5629,70,6.4096174,0.17,22.71
20201117T0300,21.1529,74,6.193674,0.17,22.35
20201117T0400,20.8829,78,5.634891,0.17,22.06
20201117T0500,21.0629,79,5.5887027,0.17,22.04
20201117T0600,21.2629,80,5.6920996,0.17,22.09
20201117T0700,22.2129,77,5.8048253,0.17,22.64
20201117T0800,24.2229,65,10.799999,0.17,24.46
20201117T0900,26.3929,50,15.683776,0.17,27.11
20201117T1000,28.0429,42,18.709612,0.169,29.86
20201117T1100,29.3929,36,20.870687,0.168,32.33
20201117T1200,30.2929,33,22.35481,0.167,34.26
20201117T1300,30.8429,32,22.657131,0.166,35.49
20201117T1400,31.0529,33,21.862406,0.164,35.93
20201117T1500,30.9129,32,20.380579,0.164,35.55
20201117T1600,30.3829,34,18.899143,0.163,34.35
20201117T1700,29.3829,38,13.905509,0.162,32.37
20201117T1800,27.8629,43,10.137692,0.163,29.95
20201117T1900,26.4629,50,9.693296,0.164,28.14
20201117T2000,25.1329,57,9.178235,0.165,26.71
20201117T2100,24.4129,61,9,0.166,25.73
